ALK
APC
ARID1B
ATM
BDP1
BRAF
CDH4
CHEK2
EIF1AX
EZH1
FGFR2
HRAS
KRAS
LTK
MEN1
MET
MLL
MLL3
NF1
NRAS
NTRK1
NTRK3
PPARG
PPM1D
PTEN
RB1
RET
SPOP
TERT
TG
THADA
TP53
TSHR
ZFHX3
